Key,Source,Context,Changes,English,
bagPalletBlockVariantHelper,blocks,Variant,New,-Tarp and Bag Pallets,
boxPalletBlockVariantHelper,blocks,Variant,New,-Wood and Boxes,
brickPalletBlockVariantHelper,blocks,Variant,New,-Bricks,
pipesBlockVariantHelper,blocks,Variant,New,-Metal Pipes,
woodTrimBlockVariantHelper,blocks,Variant,New,-Wood Trimming,
houseDoorBlockVariantHelper,blocks,Variant,New,-Other Wood Doors,
commercialDoorBlockVariantHelper,blocks,Variant,New,-Other Metal Doors,
embersBlockVariantHelper,blocks,Variant,New,-Burnt Piles,
chainlinkPolesBlockVariantHelper,blocks,Variant,New,-More Metal Fences and Poles,
carPartsBlockVariantHelper,blocks,Variant,New,-Redneck Lawn Ornaments,
plumbingBlockVariantHelper,blocks,Variant,New,-Bathroom and Sinks,
stoneDecorBlockVariantHelper,blocks,Variant,New,-Concrete Stuff and Gravestones,
barrelsBlockVariantHelper,blocks,Variant,New,-Barrels,
plasticsBlockVariantHelper,blocks,Variant,New,-Plastic Items and Bags,
cartsBlockVariantHelper,blocks,Variant,New,-Carts/Mechanical,
appliancesBlockVariantHelper,blocks,Variant,New,-Electrical Appliances,
glassStuffBlockVariantHelper,blocks,Variant,New,-Paintings and Mirrors,
detailsBlockVariantHelper,blocks,Variant,New,-Poof!,
metalStuffBlockVariantHelper,blocks,Variant,New,-More Metal Decor,
controlPanelBlockVariantHelper,blocks,Variant,New,-Panels and Conduits,
